SKU,Name,Cost,Status,Inventory,Brand,Image
DH-00001,Mini radio CB,99.97,Back Order,5,,
DH-00002,Chromecast,199.99,Available,0,Computer,DH-00002.jpg
DH-00003,Bluetooth Speaker,399.99,Available,12,Phone,DH-00003.jpg
DH-00004,Portable DVD PLayer,49.99,Pre-Order,0,Computer,DH-00004.jpg
DH-00005,Scanner-printer all-in-one,999.99,Available,2,,DH-00005.jpg
DH-00001,Car Radio 200w,89.99,Available,7,Car,DH-00006.jpg
DH-00007,Hair Dryer,19.99,Back Order,0,,DH-00007.jpg
DH-00008,MAC Computer,1999.99,Available,3,Computer,DH-00008.jpg
DH-00009,Speaker + Sub-woofer,79.99,Available,100,Computer,DH-00009.jpg
DH-00010,iPhone 32GB,399.99,Discontinued,0,Phone,DH-00010.jpg
DH-00011,Intellignet Watches,499.99,Pre-Order,0,Computer,DH-00011.jpg
DH-00012,Projector 1080p,899.99,Available,5,Computer,DH-00012.jpg
,Tablet generic,499.99,Pre-Order,0,Computer,DH-00013.jpg
DH-00014,32 MegaPixel Camera,1999.99,Available,2,,DH-00014.png
DH-00015,Intellignet watch new gen,2999.99,pre-order,0,Phone,DH-00015.jpg
DH-00016,100 feet cable,76.96,Available,15, Computer,DH-00016.jpg
DH-00017,256GB USB 3.0 FlashDrive,77.77,Available,1,,DH-00017.jpg
DH-00018,512MB memory DDR3,69.99,Available,15,,DH-00018.jpg
DH-00002,All-in-one PC,1999.98,Available,15,Computer,DH-00019.jpg
DH-00020,Authentic 56k modem.jpg,9.99,Available,11,Computer,DH-00020.jpg
DH-00021,Binocular,69.99,Available,15,,DH-00021.jpg
DH-00022,Bluetooth wireless headset + built-in microphone,89.99,Available,15,Phone,DH-00022.jpg
DH-00023,Bluray External burner,49.99,Available,15,,DH-00023.jpg
DH-00024,bnc to rca connector - pair,2.97,Available,115,,DH-00024.jpg
DH-00025,MP3 DJ Table ready-2-go,79.98,Available,15,,DH-00025.jpg
DH-00026,256GB USB Key Drive,33.39,Available,15,,DH-00026.jpg
DH-00027,Electronic Key lock,399.99,Available,157,,DH-00027.jpg
DH-00028,Energy Savings Home Control System,499.99,Available,10,,DH-00028.jpg
DH-00029,e-reader,101.99,Available,65,,DH-00029.jpg
DH-00030,Generic Desktop PC,999.97,Available,24,,DH-00030.jpg
DH-00031,GPS for Car,229.98,Available,15,Car,DH-00031.jpg
DH-00032,Hard Drive,129.99,Available,15,,DH-00032.jpg
DH-00033,Hatchet 3.5 inches Bear Survival Kit,129.99,Available,18,Camping,DH-00033.jpg
DH-00034,Headset,49.99,Available,150,,DH-00034.jpg
DH-00035,Home Theater System 2000w,2999.99,Available,15,,DH-00035.jpg
DH-00036,Indoor Dome Cam,29.99,Available,15,,DH-00036.jpg
DH-00037,Intel Atom Transformer,1999.99,Available,19,,DH-00037.jpg
DH-00038,Intel Xeon 2GHz,399.99,Available,15,,DH-00038.jpg
DH-00039,Laptop 17'' Core I7 - Gamer Grade,2999.99,Available,15,,DH-00039.jpg
DH-00040,micro sd 64gb,29.99,Available,31,,DH-00040.jpg
DH-00041,micro-charger kit,12.99,Available,11,,DH-00041.jpg
DH-00042,monitor Viewsonic 28'',499.99,Available,19,,DH-00042.jpg
DH-00043,Pair of surveillance camera,59.99,Available,21,,DH-00043.jpg
DH-00044,phone conf room,699.99,Available,150,,DH-00044.jpg
DH-00045,Tablet slim 10 inches,299.97,Back Order,0,,DH-00045.jpg
DH-00046,TV,399.99,Available,5,,DH-00046.jpg
DH-00047,Telescope,1099.98,Available,1,,DH-00047.jpg
DH-00048,transport bag for camera,39.99,Available,15,,DH-00048.jpg
DH-00049,Yeti Microphone,699.99,Back Order,0,,DH-00049.jpg
DH-00050,Old Style Telephone,29.99,Back Order,0,,DH-00050.jpg